Detected Component: R2
G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0.002 
Detected Component: V2
G11:1 G11:0 G11:-1 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 
Detected Component: R1
G11:1.02 G11:0 G11:-1 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 
Detected Component: V2
G11:1.02 G11:0 G11:-1 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 
Detected Component: V1
G11:1 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 
Time,N001,N002,N003,V1,V2,R1,R2,
0,5,0,0,0,0,0.1,0,
0.0001,5,0,0,0,0,0.1,0,
0.0002,5,0,0,0,0,0.1,0,
0.0003,5,0,0,0,0,0.1,0,
0.0004,5,0,0,0,0,0.1,0,
0.0005,5,0,0,0,0,0.1,0,
0.0006,5,0,0,0,0,0.1,0,
0.0007,5,0,0,0,0,0.1,0,
0.0008,5,0,0,0,0,0.1,0,
0.0009,5,0,0,0,0,0.1,0,
0.001,5,0,0,0,0,0.1,0,
0.0011,5,0,0,0,0,0.1,0,
0.0012,5,0,0,0,0,0.1,0,
0.0013,5,0,0,0,0,0.1,0,
0.0014,5,0,0,0,0,0.1,0,
0.0015,5,0,0,0,0,0.1,0,
0.0016,5,0,0,0,0,0.1,0,
0.0017,5,0,0,0,0,0.1,0,
0.0018,5,0,0,0,0,0.1,0,
0.0019,5,0,0,0,0,0.1,0,
0.002,5,0,0,0,0,0.1,0,
0.0021,5,0,0,0,0,0.1,0,
0.0022,5,0,0,0,0,0.1,0,
0.0023,5,0,0,0,0,0.1,0,
0.0024,5,0,0,0,0,0.1,0,
0.0025,5,0,0,0,0,0.1,0,
0.0026,5,0,0,0,0,0.1,0,
0.0027,5,0,0,0,0,0.1,0,
0.0028,5,0,0,0,0,0.1,0,
0.0029,5,0,0,0,0,0.1,0,
0.003,5,0,0,0,0,0.1,0,
0.0031,5,0,0,0,0,0.1,0,
0.0032,5,0,0,0,0,0.1,0,
0.0033,5,0,0,0,0,0.1,0,
0.0034,5,0,0,0,0,0.1,0,
0.0035,5,0,0,0,0,0.1,0,
0.0036,5,0,0,0,0,0.1,0,
0.0037,5,0,0,0,0,0.1,0,
0.0038,5,0,0,0,0,0.1,0,
0.0039,5,0,0,0,0,0.1,0,
0.004,5,0,0,0,0,0.1,0,
0.0041,5,0,0,0,0,0.1,0,
0.0042,5,0,0,0,0,0.1,0,
0.0043,5,0,0,0,0,0.1,0,
0.0044,5,0,0,0,0,0.1,0,
0.0045,5,0,0,0,0,0.1,0,
0.0046,5,0,0,0,0,0.1,0,
0.0047,5,0,0,0,0,0.1,0,
0.0048,5,0,0,0,0,0.1,0,
0.0049,5,0,0,0,0,0.1,0,
0.005,5,0,0,0,0,0.1,0,
0.0051,5,0,0,0,0,0.1,0,
0.0052,5,0,0,0,0,0.1,0,
0.0053,5,0,0,0,0,0.1,0,
0.0054,5,0,0,0,0,0.1,0,
0.0055,5,0,0,0,0,0.1,0,
0.0056,5,0,0,0,0,0.1,0,
0.0057,5,0,0,0,0,0.1,0,
0.0058,5,0,0,0,0,0.1,0,
0.0059,5,0,0,0,0,0.1,0,
0.006,5,0,0,0,0,0.1,0,
0.0061,5,0,0,0,0,0.1,0,
0.0062,5,0,0,0,0,0.1,0,
0.0063,5,0,0,0,0,0.1,0,
0.0064,5,0,0,0,0,0.1,0,
0.0065,5,0,0,0,0,0.1,0,
0.0066,5,0,0,0,0,0.1,0,
0.0067,5,0,0,0,0,0.1,0,
0.0068,5,0,0,0,0,0.1,0,
0.0069,5,0,0,0,0,0.1,0,
0.007,5,0,0,0,0,0.1,0,
0.0071,5,0,0,0,0,0.1,0,
0.0072,5,0,0,0,0,0.1,0,
0.0073,5,0,0,0,0,0.1,0,
0.0074,5,0,0,0,0,0.1,0,
0.0075,5,0,0,0,0,0.1,0,
0.0076,5,0,0,0,0,0.1,0,
0.0077,5,0,0,0,0,0.1,0,
0.0078,5,0,0,0,0,0.1,0,
0.0079,5,0,0,0,0,0.1,0,
0.008,5,0,0,0,0,0.1,0,
0.0081,5,0,0,0,0,0.1,0,
0.0082,5,0,0,0,0,0.1,0,
0.0083,5,0,0,0,0,0.1,0,
0.0084,5,0,0,0,0,0.1,0,
0.0085,5,0,0,0,0,0.1,0,
0.0086,5,0,0,0,0,0.1,0,
0.0087,5,0,0,0,0,0.1,0,
0.0088,5,0,0,0,0,0.1,0,
0.0089,5,0,0,0,0,0.1,0,
0.009,5,0,0,0,0,0.1,0,
0.0091,5,0,0,0,0,0.1,0,
0.0092,5,0,0,0,0,0.1,0,
0.0093,5,0,0,0,0,0.1,0,
0.0094,5,0,0,0,0,0.1,0,
0.0095,5,0,0,0,0,0.1,0,
0.0096,5,0,0,0,0,0.1,0,
0.0097,5,0,0,0,0,0.1,0,
0.0098,5,0,0,0,0,0.1,0,
0.0099,5,0,0,0,0,0.1,0,
0.01,5,0,0,0,0,0.1,0,
